base_family_key,micro_skill_key,base_word,base_meaning,validation_status,eligible_authentic_target_count,eligible_authentic_targets,eligible_transfer_count,eligible_transfer_pool,proposed_six_word_lesson,family_member_details,blocking_reasons,human_review_status,human_review_notes
like_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,like,to enjoy or think something is good,requires_mixed_family_targets,2,dislike ; liked,1,like,"dislike | authentic_target | dis + like → dislike | to not like something | I dislike bitter food, so I choose something else politely. ; liked | authentic_target | like + d → liked | found something pleasant earlier | We liked the funny film. ; like | base | like | to find something pleasant | I like the new playground.","dislike | authentic_target | dis + like → dislike | to not like something | I dislike bitter food, so I choose something else politely. || like | base | like | to find something pleasant | I like the new playground. || liked | authentic_target | like + d → liked | found something pleasant earlier | We liked the funny film.",requires four eligible base/transfer words for a standalone family lesson,,
look_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,look,to use your eyes to see,requires_mixed_family_targets,2,looked ; looking,1,look,looked | authentic_target | look + ed → looked | directed your eyes towards something earlier | We looked under the bed for the missing shoe. ; looking | authentic_target | look + ing → looking | directing your eyes towards something right now | We are looking for the lost glove. ; look | base | look | to direct your eyes towards something | Please look both ways before crossing.,look | base | look | to direct your eyes towards something | Please look both ways before crossing. || looked | authentic_target | look + ed → looked | directed your eyes towards something earlier | We looked under the bed for the missing shoe. || looking | authentic_target | look + ing → looking | directing your eyes towards something right now | We are looking for the lost glove.,requires four eligible base/transfer words for a standalone family lesson,,
magic_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,magic,special powers in stories,requires_mixed_family_targets,1,magician,1,magic,magician | authentic_target | magic + ian → magician | a person who performs magic tricks | The magician performed a trick with a silk scarf. ; magic | base | magic | special power that seems impossible or mysterious | The magician did a trick with magic.,magic | base | magic | special power that seems impossible or mysterious | The magician did a trick with magic. || magician | authentic_target | magic + ian → magician | a person who performs magic tricks | The magician performed a trick with a silk scarf.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
make_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,make,to create something,requires_mixed_family_targets,2,made ; making,1,make,made | authentic_target | make → made | created or produced something | Mia made a boat from folded paper. ; making | authentic_target | make + ing → making | creating or producing something right now | Mia was making a model from cardboard. ; make | base | make | to create or produce something | Please make a paper boat for the water tray.,made | authentic_target | make → made | created or produced something | Mia made a boat from folded paper. || make | base | make | to create or produce something | Please make a paper boat for the water tray. || making | authentic_target | make + ing → making | creating or producing something right now | Mia was making a model from cardboard.,requires four eligible base/transfer words for a standalone family lesson,,
map_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,map,a drawing of a place,requires_mixed_family_targets,1,mapped,1,map,mapped | authentic_target | map + ed → mapped | shown on a map earlier | We mapped the safest route through the forest. ; map | base | map | a drawing that shows where places are | Please map the route from school to the park.,map | base | map | a drawing that shows where places are | Please map the route from school to the park. || mapped | authentic_target | map + ed → mapped | shown on a map earlier | We mapped the safest route through the forest.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
nature_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,nature,"the plants, animals, and world around us",requires_mixed_family_targets,1,natural,1,nature,"natural | authentic_target | nature + al → natural | found in nature; not made by people | The natural cave formed without people building it. ; nature | base | nature | plants, animals, and the natural world | We explored nature by looking at plants and animals outdoors.","natural | authentic_target | nature + al → natural | found in nature; not made by people | The natural cave formed without people building it. || nature | base | nature | plants, animals, and the natural world | We explored nature by looking at plants and animals outdoors.",requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
nice_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,nice,pleasant or kind,requires_mixed_family_targets,2,nicer ; nicest,1,nice,"nicer | authentic_target | nice + r → nicer | more pleasant, kind, or friendly | The nice day became nicer when the nicest surprise arrived. ; nicest | authentic_target | nice + st → nicest | most pleasant, kind, or friendly | The nice day became nicer when the nicest surprise arrived. ; nice | base | nice | pleasant, kind, or friendly | The nice day became nicer when the nicest surprise arrived.","nice | base | nice | pleasant, kind, or friendly | The nice day became nicer when the nicest surprise arrived. || nicer | authentic_target | nice + r → nicer | more pleasant, kind, or friendly | The nice day became nicer when the nicest surprise arrived. || nicest | authentic_target | nice + st → nicest | most pleasant, kind, or friendly | The nice day became nicer when the nicest surprise arrived.",requires four eligible base/transfer words for a standalone family lesson,,
one_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,one,the number 1,requires_mixed_family_targets,1,twenty-one,1,one,twenty-one | authentic_target | twenty- + one → twenty-one | twenty and one more: the number 21 | There are twenty-one children in our class. ; one | base | one | the number 1 | One bee landed on the flower.,one | base | one | the number 1 | One bee landed on the flower. || twenty-one | authentic_target | twenty- + one → twenty-one | twenty and one more: the number 21 | There are twenty-one children in our class.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
person_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,person,a human being,requires_mixed_family_targets,1,personal,1,person,"personal | authentic_target | person + al → personal | belonging to or about one particular person | The diary was personal, so Mia kept it private. ; person | base | person | one human being | The person smiled and waved to us.","person | base | person | one human being | The person smiled and waved to us. || personal | authentic_target | person + al → personal | belonging to or about one particular person | The diary was personal, so Mia kept it private.",requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
photo_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,photo,a picture taken with a camera,requires_mixed_family_targets,2,photograph ; photography,1,photo,photograph | authentic_target | photo + graph → photograph | a picture made using light and a camera | A photograph is a picture made with a camera. ; photography | authentic_target | photo + graphy → photography | the art of making pictures using light and a camera | Photography is the art of taking pictures with a camera. ; photo | base | photo | a picture made with a camera | We looked at the photo to find information.,photo | base | photo | a picture made with a camera | We looked at the photo to find information. || photograph | authentic_target | photo + graph → photograph | a picture made using light and a camera | A photograph is a picture made with a camera. || photography | authentic_target | photo + graphy → photography | the art of making pictures using light and a camera | Photography is the art of taking pictures with a camera.,requires four eligible base/transfer words for a standalone family lesson,,
plan_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,plan,an idea for what to do,requires_mixed_family_targets,1,planned,1,plan,planned | authentic_target | plan + ed → planned | decided what you would do earlier | We planned the party before buying the food. ; plan | base | plan | to decide what you will do | Please plan the project before you begin.,plan | base | plan | to decide what you will do | Please plan the project before you begin. || planned | authentic_target | plan + ed → planned | decided what you would do earlier | We planned the party before buying the food.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
port_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,port,to carry,requires_mixed_family_targets,1,transport,1,port,transport | authentic_target | trans + port → transport | to carry people or things across or from one place to another | The bus is our transport to school. ; port | base | port | a place where ships load and unload | The ship sailed into the port.,port | base | port | a place where ships load and unload | The ship sailed into the port. || transport | authentic_target | trans + port → transport | to carry people or things across or from one place to another | The bus is our transport to school.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
possible_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,possible,able to be done,requires_mixed_family_targets,2,impossible ; possibility,1,possible,impossible | authentic_target | im + possible → impossible | not possible; not able to happen or be done | It is impossible for a person to breathe underwater without help. ; possibility | authentic_target | possible → possibility | something that may happen or be true | There is a possibility that snow will close the school. ; possible | base | possible | able to happen or be done | It is possible to finish the puzzle if we work together.,impossible | authentic_target | im + possible → impossible | not possible; not able to happen or be done | It is impossible for a person to breathe underwater without help. || possibility | authentic_target | possible → possibility | something that may happen or be true | There is a possibility that snow will close the school. || possible | base | possible | able to happen or be done | It is possible to finish the puzzle if we work together.,requires four eligible base/transfer words for a standalone family lesson,,
quick_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,quick,fast,requires_mixed_family_targets,2,quickest ; quickly,1,quick,quickest | authentic_target | quick + est → quickest | happening in the shortest time | Mia was the quickest runner and finished before everyone else. ; quickly | authentic_target | quick + ly → quickly | in a quick way | Please walk quickly to the gate. ; quick | base | quick | happening in a short time | The quick rabbit reached the burrow in seconds.,quick | base | quick | happening in a short time | The quick rabbit reached the burrow in seconds. || quickest | authentic_target | quick + est → quickest | happening in the shortest time | Mia was the quickest runner and finished before everyone else. || quickly | authentic_target | quick + ly → quickly | in a quick way | Please walk quickly to the gate.,requires four eligible base/transfer words for a standalone family lesson,,
read_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,read,to understand written words,requires_mixed_family_targets,2,misread ; readable,3,read ; reading ; reads,misread | authentic_target | mis + read → misread | to read something wrongly | I misread the number on the clock. ; readable | authentic_target | read + able → readable | easy enough to read | Her neat handwriting was readable and easy to understand. ; read | base | read | to look at and understand written words | The teacher read a book in the library. ; reading | transfer | read + ing → reading | looking at and understanding written words right now | Sam was reading a story about space. ; reads | transfer | read + s → reads | looks at and understands written words | Sam reads a story before bed.,misread | authentic_target | mis + read → misread | to read something wrongly | I misread the number on the clock. || read | base | read | to look at and understand written words | The teacher read a book in the library. || readable | authentic_target | read + able → readable | easy enough to read | Her neat handwriting was readable and easy to understand. || reading | transfer | read + ing → reading | looking at and understanding written words right now | Sam was reading a story about space. || reads | transfer | read + s → reads | looks at and understands written words | Sam reads a story before bed.,requires four eligible base/transfer words for a standalone family lesson,,
run_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,run,to move quickly on your feet,requires_mixed_family_targets,2,runner ; running,2,run ; runs,runner | authentic_target | run + er → runner | a person who runs | The runner crossed the finish line first. ; running | authentic_target | run + ing → running | moving quickly on your feet right now | The runner was running towards the finish line. ; run | base | run | to move quickly on your feet | Please run to the finish line. ; runs | transfer | run + s → runs | moves quickly on their feet | The river runs through the valley to the sea.,run | base | run | to move quickly on your feet | Please run to the finish line. || runner | authentic_target | run + er → runner | a person who runs | The runner crossed the finish line first. || running | authentic_target | run + ing → running | moving quickly on your feet right now | The runner was running towards the finish line. || runs | transfer | run + s → runs | moves quickly on their feet | The river runs through the valley to the sea.,requires four eligible base/transfer words for a standalone family lesson,,
sad_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,sad,unhappy,requires_mixed_family_targets,2,sadder ; saddest,3,sad ; sadly ; sadness,"sadder | authentic_target | sad + er → sadder | feeling more unhappy | The sad ending grew sadder, and the final scene was the saddest. ; saddest | authentic_target | sad + est → saddest | feeling most unhappy | The sad ending grew sadder, and the final scene was the saddest. ; sad | base | sad | feeling unhappy | The sad ending grew sadder, and the final scene was the saddest. ; sadly | transfer | sad + ly → sadly | in a sad way | Sadly, the party had to end. ; sadness | transfer | sad + ness → sadness | the state of being sad | Tears showed her sadness when her friend moved away.","sad | base | sad | feeling unhappy | The sad ending grew sadder, and the final scene was the saddest. || sadder | authentic_target | sad + er → sadder | feeling more unhappy | The sad ending grew sadder, and the final scene was the saddest. || saddest | authentic_target | sad + est → saddest | feeling most unhappy | The sad ending grew sadder, and the final scene was the saddest. || sadly | transfer | sad + ly → sadly | in a sad way | Sadly, the party had to end. || sadness | transfer | sad + ness → sadness | the state of being sad | Tears showed her sadness when her friend moved away.",requires four eligible base/transfer words for a standalone family lesson,,
sign_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,sign,a mark with a meaning,requires_mixed_family_targets,2,signal ; signature,1,sign,signal | authentic_target | sign + al → signal | an action or sign that gives a message | The green signal told us to cross. ; signature | authentic_target | sign + ature → signature | a person's name written by themselves | We used the signature during our lesson. ; sign | base | sign | a notice that gives information | We used the sign during our lesson.,sign | base | sign | a notice that gives information | We used the sign during our lesson. || signal | authentic_target | sign + al → signal | an action or sign that gives a message | The green signal told us to cross. || signature | authentic_target | sign + ature → signature | a person's name written by themselves | We used the signature during our lesson.,requires four eligible base/transfer words for a standalone family lesson,,
sit_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,sit,to rest on a chair or the ground,requires_mixed_family_targets,1,sitting,1,sit,sitting | authentic_target | sit + ing → sitting | resting on a chair or seat right now | The cat was sitting on the warm windowsill. ; sit | base | sit | to rest on a chair or seat | Please sit on the bench beside me.,sit | base | sit | to rest on a chair or seat | Please sit on the bench beside me. || sitting | authentic_target | sit + ing → sitting | resting on a chair or seat right now | The cat was sitting on the warm windowsill.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
small_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,small,little,requires_mixed_family_targets,2,smaller ; smallest,1,small,smaller | authentic_target | small + er → smaller | less large in size | The small shell was beside a smaller shell and the smallest pebble. ; smallest | authentic_target | small + est → smallest | least large in size | The small shell was beside a smaller shell and the smallest pebble. ; small | base | small | small in size | The small shell was beside a smaller shell and the smallest pebble.,small | base | small | small in size | The small shell was beside a smaller shell and the smallest pebble. || smaller | authentic_target | small + er → smaller | less large in size | The small shell was beside a smaller shell and the smallest pebble. || smallest | authentic_target | small + est → smallest | least large in size | The small shell was beside a smaller shell and the smallest pebble.,requires four eligible base/transfer words for a standalone family lesson,,
smile_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,smile,to make a happy face,requires_mixed_family_targets,2,smiled ; smiling,1,smile,smiled | authentic_target | smile + d → smiled | made a happy expression with your face earlier | The baby smiled when Mum came home. ; smiling | authentic_target | smile + ing → smiling | making a happy expression with your face right now | Mia was smiling because her friend had arrived. ; smile | base | smile | to make a happy expression with your face | Please smile when the camera takes the photo.,smile | base | smile | to make a happy expression with your face | Please smile when the camera takes the photo. || smiled | authentic_target | smile + d → smiled | made a happy expression with your face earlier | The baby smiled when Mum came home. || smiling | authentic_target | smile + ing → smiling | making a happy expression with your face right now | Mia was smiling because her friend had arrived.,requires four eligible base/transfer words for a standalone family lesson,,
stop_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,stop,to finish moving or doing something,requires_mixed_family_targets,2,stopped ; stopping,1,stop,stopped | authentic_target | stop + ed → stopped | no longer moved or continued earlier | The car stopped at the red light. ; stopping | authentic_target | stop + ing → stopping | no longer moving or continuing right now | The crossing guard was stopping the traffic safely. ; stop | base | stop | to no longer move or continue | Please stop at the red signal.,stop | base | stop | to no longer move or continue | Please stop at the red signal. || stopped | authentic_target | stop + ed → stopped | no longer moved or continued earlier | The car stopped at the red light. || stopping | authentic_target | stop + ing → stopping | no longer moving or continuing right now | The crossing guard was stopping the traffic safely.,requires four eligible base/transfer words for a standalone family lesson,,
story_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,story,"an account of events, real or made up",requires_mixed_family_targets,1,stories,1,story,"stories | authentic_target | story + es → stories | more than one story | Grandad told stories about his childhood. ; story | base | story | an account of events, real or imagined | The author and writer planned a story.","stories | authentic_target | story + es → stories | more than one story | Grandad told stories about his childhood. || story | base | story | an account of events, real or imagined | The author and writer planned a story.",requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
sun_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,sun,the star that gives Earth light and heat,requires_mixed_family_targets,0,,1,sun,sun | base | sun | the star that gives Earth light and heat | The sun changed the view outside.,sun | base | sun | the star that gives Earth light and heat | The sun changed the view outside.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
swim_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,swim,to move through water,requires_mixed_family_targets,1,swimming,1,swim,swimming | authentic_target | swim + ing → swimming | moving through water right now | The duck was swimming across the pond. ; swim | base | swim | to move through water | Please swim between the flags at the pool.,swim | base | swim | to move through water | Please swim between the flags at the pool. || swimming | authentic_target | swim + ing → swimming | moving through water right now | The duck was swimming across the pond.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
take_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,take,to get or carry something,requires_mixed_family_targets,1,mistake,1,take,mistake | authentic_target | mis + take → mistake | something done wrongly | I made a mistake and wrote six instead of nine. ; take | base | take | to carry or move something with you | Please take one apple from the bowl.,mistake | authentic_target | mis + take → mistake | something done wrongly | I made a mistake and wrote six instead of nine. || take | base | take | to carry or move something with you | Please take one apple from the bowl.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
tall_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,tall,having a great height,requires_mixed_family_targets,2,taller ; tallest,1,tall,taller | authentic_target | tall + er → taller | having greater height | The tall tree was taller than the house and the tallest in the park. ; tallest | authentic_target | tall + est → tallest | having the greatest height | The tall tree was taller than the house and the tallest in the park. ; tall | base | tall | having a greater than usual height | The tall tree was taller than the house and the tallest in the park.,tall | base | tall | having a greater than usual height | The tall tree was taller than the house and the tallest in the park. || taller | authentic_target | tall + er → taller | having greater height | The tall tree was taller than the house and the tallest in the park. || tallest | authentic_target | tall + est → tallest | having the greatest height | The tall tree was taller than the house and the tallest in the park.,requires four eligible base/transfer words for a standalone family lesson,,
thank_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,thank,to show that you are grateful,requires_mixed_family_targets,1,thankful,1,thank,thankful | authentic_target | thank + ful → thankful | full of thanks; feeling grateful | Mia was thankful when her friend returned the lost bag. ; thank | base | thank | to show you are grateful | Please thank your friend for helping.,thank | base | thank | to show you are grateful | Please thank your friend for helping. || thankful | authentic_target | thank + ful → thankful | full of thanks; feeling grateful | Mia was thankful when her friend returned the lost bag.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
tie_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,tie,to fasten with a knot,requires_mixed_family_targets,1,tying,1,tie,tying | authentic_target | tie → tying | fastening something with a knot | Sam was tying his shoelaces in a bow. ; tie | base | tie | to fasten something with a knot | Please tie your shoelaces in a firm bow.,tie | base | tie | to fasten something with a knot | Please tie your shoelaces in a firm bow. || tying | authentic_target | tie → tying | fastening something with a knot | Sam was tying his shoelaces in a bow.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
try_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,try,to make an effort,requires_mixed_family_targets,2,tried ; tries,1,try,tried | authentic_target | try + ed → tried | made an effort to do something earlier | Sam tried the puzzle again after a short rest. ; tries | authentic_target | try + es → tries | makes an effort to do something | Sam tries again when a puzzle feels difficult. ; try | base | try | to make an effort to do something | Please try the puzzle again after a rest.,tried | authentic_target | try + ed → tried | made an effort to do something earlier | Sam tried the puzzle again after a short rest. || tries | authentic_target | try + es → tries | makes an effort to do something | Sam tries again when a puzzle feels difficult. || try | base | try | to make an effort to do something | Please try the puzzle again after a rest.,requires four eligible base/transfer words for a standalone family lesson,,
use_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,use,to do something with a thing,requires_mixed_family_targets,1,useful,1,use,useful | authentic_target | use + ful → useful | able to be used to help | A torch is useful when it is dark. ; use | base | use | to do something with a thing for a purpose | We use a ruler to draw lines.,use | base | use | to do something with a thing for a purpose | We use a ruler to draw lines. || useful | authentic_target | use + ful → useful | able to be used to help | A torch is useful when it is dark.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
vie_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,vie,to compete for something,requires_mixed_family_targets,1,vying,1,vie,vying | authentic_target | vie → vying | competing for something | The two teams were vying for first place. ; vie | base | vie | to compete for something | The runners vie for the gold medal.,vie | base | vie | to compete for something | The runners vie for the gold medal. || vying | authentic_target | vie → vying | competing for something | The two teams were vying for first place.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
walk_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,walk,to move on foot,requires_mixed_family_targets,1,walked,1,walk,walked | authentic_target | walk + ed → walked | moved on your feet at a steady pace earlier | We walked to school through the park. ; walk | base | walk | to move on your feet at a steady pace | Please walk carefully on the icy path.,walk | base | walk | to move on your feet at a steady pace | Please walk carefully on the icy path. || walked | authentic_target | walk + ed → walked | moved on your feet at a steady pace earlier | We walked to school through the park.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
want_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,want,to wish for something,requires_mixed_family_targets,1,wanted,1,want,wanted | authentic_target | want + ed → wanted | wished for something earlier | Mia wanted a drink because she was thirsty. ; want | base | want | to wish for something | Please want the toy without taking it from someone.,want | base | want | to wish for something | Please want the toy without taking it from someone. || wanted | authentic_target | want + ed → wanted | wished for something earlier | Mia wanted a drink because she was thirsty.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
watch_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,watch,to look at something carefully,requires_mixed_family_targets,1,watches,1,watch,watches | authentic_target | watch + es → watches | looks at something carefully for a time | Mia watches the birds from her window. ; watch | base | watch | to look at something carefully for a time | Please watch the bird build its nest.,watch | base | watch | to look at something carefully for a time | Please watch the bird build its nest. || watches | authentic_target | watch + es → watches | looks at something carefully for a time | Mia watches the birds from her window.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
weigh_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,weigh,to have a particular heaviness,requires_mixed_family_targets,1,weight,1,weigh,weight | authentic_target | weigh + t → weight | how heavy someone or something is | The scale showed the weight of the parcel. ; weigh | base | weigh | to find how heavy something is | Please weigh the flour before making bread.,weigh | base | weigh | to find how heavy something is | Please weigh the flour before making bread. || weight | authentic_target | weigh + t → weight | how heavy someone or something is | The scale showed the weight of the parcel.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
wish_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,wish,to hope for something,requires_mixed_family_targets,1,wishes,1,wish,wishes | authentic_target | wish + es → wishes | wants something to happen | The child wishes for snow on Christmas Day. ; wish | base | wish | to want something to happen | Please wish for sunshine on our picnic day.,wish | base | wish | to want something to happen | Please wish for sunshine on our picnic day. || wishes | authentic_target | wish + es → wishes | wants something to happen | The child wishes for snow on Christmas Day.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
wolf_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,wolf,a wild animal like a large dog,requires_mixed_family_targets,1,wolves,1,wolf,wolves | authentic_target | wolf → wolves | more than one wolf | The wolves hunted together as a pack. ; wolf | base | wolf | a wild animal like a large dog | The wolf hunted with its pack in the forest.,wolf | base | wolf | a wild animal like a large dog | The wolf hunted with its pack in the forest. || wolves | authentic_target | wolf → wolves | more than one wolf | The wolves hunted together as a pack.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
word_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,word,a unit of language with a meaning,requires_mixed_family_targets,1,words,1,word,words | authentic_target | word + s → words | more than one word | A sentence is made from words in a clear order. ; word | base | word | a single unit of language with a meaning | We used the word during our lesson.,word | base | word | a single unit of language with a meaning | We used the word during our lesson. || words | authentic_target | word + s → words | more than one word | A sentence is made from words in a clear order.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
work_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,work,to do a job or task,requires_mixed_family_targets,1,worker,1,work,worker | authentic_target | work + er → worker | a person who works | The worker repaired the road with the team. ; work | base | work | to do a job or task | Please work with your team to finish the model.,work | base | work | to do a job or task | Please work with your team to finish the model. || worker | authentic_target | work + er → worker | a person who works | The worker repaired the road with the team.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
write_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,write,to make words with letters,requires_mixed_family_targets,2,rewrite ; writer,2,write ; writing,rewrite | authentic_target | re + write → rewrite | to write something again | Please rewrite the sentence more clearly. ; writer | authentic_target | write + r → writer | a person who writes | The author and writer planned a story. ; write | base | write | to make letters or words | Please write your name at the top of the page. ; writing | transfer | write + ing → writing | letters or words that have been written right now | Mia was writing a letter to her grandmother.,rewrite | authentic_target | re + write → rewrite | to write something again | Please rewrite the sentence more clearly. || write | base | write | to make letters or words | Please write your name at the top of the page. || writer | authentic_target | write + r → writer | a person who writes | The author and writer planned a story. || writing | transfer | write + ing → writing | letters or words that have been written right now | Mia was writing a letter to her grandmother.,requires four eligible base/transfer words for a standalone family lesson,,
