base_family_key,word_key,member_role,child_friendly_meaning,word_sum,morphology_parts,morphology_joins,transformation_notes,dictation_sentence,dictation_target_token_index,audio_text,assignment_eligible,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at
die_base_family,die_en_gb,base,to stop being alive,die,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""die"",""surfaceText"":""die"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell die.,2,Please spell die.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
die_base_family,dying_en_gb,authentic_target,coming to the end of life,die → dying,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""die"",""surfaceText"":""dying"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}}]",[],A reviewer must confirm the detailed word sum and spelling transformation.,Please spell dying.,2,Please spell dying.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
dog_base_family,dog_en_gb,base,a pet animal that barks,dog,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""dog"",""surfaceText"":""dog"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell dog.,2,Please spell dog.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
dog_base_family,dogs_en_gb,authentic_target,more than one dog,dog + s → dogs,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""dog"",""surfaceText"":""dog"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""s"",""surfaceText"":""s"",""gloss"":"""",""displayRange"":{""start"":3,""end"":4},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",The spelling of the base is kept in the longer word.,Please spell dogs.,2,Please spell dogs.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
face_base_family,face_en_gb,base,the front part of a person's head,face,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""face"",""surfaceText"":""face"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell face.,2,Please spell face.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
face_base_family,facial_en_gb,authentic_target,to do with the face,face + ial → facial,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""face"",""surfaceText"":""fac"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ial"",""surfaceText"":""ial"",""gloss"":"""",""displayRange"":{""start"":3,""end"":6},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}}]",The final e is dropped before the ending is added.,Please spell facial.,2,Please spell facial.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
fair_base_family,fair_en_gb,base,treating people equally and properly,fair,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""fair"",""surfaceText"":""fair"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell fair.,2,Please spell fair.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
fair_base_family,unfair_en_gb,authentic_target,not fair; not treating people equally or properly,un + fair → unfair,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""un"",""surfaceText"":""un"",""gloss"":"""",""displayRange"":{""start"":0,""end"":2},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""fair"",""surfaceText"":""fair"",""gloss"":"""",""displayRange"":{""start"":2,""end"":6},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":2,""end"":2}}]",The spelling of the base is kept in the longer word.,Please spell unfair.,2,Please spell unfair.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
fast_base_family,fast_en_gb,base,moving quickly,fast,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""fast"",""surfaceText"":""fast"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell fast.,2,Please spell fast.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
fast_base_family,faster_en_gb,authentic_target,moving more quickly,fast + er → faster,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""fast"",""surfaceText"":""fast"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""er"",""surfaceText"":""er"",""gloss"":"""",""displayRange"":{""start"":4,""end"":6},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":4,""end"":4}}]",The spelling of the base is kept in the longer word.,Please spell faster.,2,Please spell faster.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
fast_base_family,fastest_en_gb,authentic_target,moving most quickly,fast + est → fastest,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""fast"",""surfaceText"":""fast"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""est"",""surfaceText"":""est"",""gloss"":"""",""displayRange"":{""start"":4,""end"":7},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":4,""end"":4}}]",The spelling of the base is kept in the longer word.,Please spell fastest.,2,Please spell fastest.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
foot_base_family,foot_en_gb,base,the part at the end of your leg that you stand on,foot,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""foot"",""surfaceText"":""foot"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell foot.,2,Please spell foot.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
go_base_family,go_en_gb,base,to move from one place to another,go,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""go"",""surfaceText"":""go"",""gloss"":"""",""displayRange"":{""start"":0,""end"":2},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell go.,2,Please spell go.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
go_base_family,goes_en_gb,authentic_target,moves from one place to another,go + es → goes,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""go"",""surfaceText"":""go"",""gloss"":"""",""displayRange"":{""start"":0,""end"":2},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""es"",""surfaceText"":""es"",""gloss"":"""",""displayRange"":{""start"":2,""end"":4},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":2,""end"":2}}]",The spelling of the base is kept in the longer word.,Please spell goes.,2,Please spell goes.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
grab_base_family,grab_en_gb,base,to take hold of something quickly,grab,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""grab"",""surfaceText"":""grab"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell grab.,2,Please spell grab.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
grab_base_family,grabbed_en_gb,authentic_target,took hold of something quickly earlier,grab + ed → grabbed,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""grab"",""surfaceText"":""grab"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ed"",""surfaceText"":""bed"",""gloss"":"""",""displayRange"":{""start"":4,""end"":7},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":4,""end"":4}}]",The final consonant is doubled before the ending is added.,Please spell grabbed.,2,Please spell grabbed.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
graph_base_family,geography_en_gb,authentic_target,"learning about the Earth, its places, and its people",geo + graph + y → geography,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""geo"",""surfaceText"":""geo"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""graph"",""surfaceText"":""graph"",""gloss"":"""",""displayRange"":{""start"":3,""end"":8},""source"":{""morphemesJsonIndex"":1}},{""id"":""part_3"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""y"",""surfaceText"":""y"",""gloss"":"""",""displayRange"":{""start"":8,""end"":9},""source"":{""morphemesJsonIndex"":2}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":3,""end"":3}},{""afterPartId"":""part_2"",""beforePartId"":""part_3"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":8,""end"":8}}]","The Greek-derived root graph means to write, draw, or record information; keep that meaning visible in the word family.",Please spell geography.,2,Please spell geography.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
graph_base_family,graph_en_gb,base,a diagram that shows information,graph,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""graph"",""surfaceText"":""graph"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}}]",[],"The Greek-derived root graph means to write, draw, or record information; keep that meaning visible in the word family.",Please spell graph.,2,Please spell graph.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
graph_base_family,graphic_en_gb,authentic_target,shown using pictures or diagrams,graph + ic → graphic,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""graph"",""surfaceText"":""graph"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ic"",""surfaceText"":""ic"",""gloss"":"""",""displayRange"":{""start"":5,""end"":7},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":5,""end"":5}}]","The Greek-derived root graph means to write, draw, or record information; keep that meaning visible in the word family.",Please spell graphic.,2,Please spell graphic.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
graph_base_family,photograph_en_gb,transfer,a picture made using light and a camera,photo + graph → photograph,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""photo"",""surfaceText"":""photo"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""graph"",""surfaceText"":""graph"",""gloss"":"""",""displayRange"":{""start"":5,""end"":10},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":5,""end"":5}}]","The Greek-derived root graph means to write, draw, or record information; keep that meaning visible in the word family.",Please spell photograph.,2,Please spell photograph.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
graph_base_family,photography_en_gb,transfer,the art of making pictures using light and a camera,photo + graph + y → photography,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""photo"",""surfaceText"":""photo"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""graph"",""surfaceText"":""graph"",""gloss"":"""",""displayRange"":{""start"":5,""end"":10},""source"":{""morphemesJsonIndex"":1}},{""id"":""part_3"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""y"",""surfaceText"":""y"",""gloss"":"""",""displayRange"":{""start"":10,""end"":11},""source"":{""morphemesJsonIndex"":2}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":5,""end"":5}},{""afterPartId"":""part_2"",""beforePartId"":""part_3"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":10,""end"":10}}]","The Greek-derived root graph means to write, draw, or record information; keep that meaning visible in the word family.",Please spell photography.,2,Please spell photography.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
grow_base_family,grow_en_gb,base,to become bigger or develop,grow,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""grow"",""surfaceText"":""grow"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell grow.,2,Please spell grow.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
grow_base_family,grown_en_gb,authentic_target,become bigger or developed,grow + n → grown,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""grow"",""surfaceText"":""grow"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""n"",""surfaceText"":""n"",""gloss"":"""",""displayRange"":{""start"":4,""end"":5},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":4,""end"":4}}]",The spelling of the base is kept in the longer word.,Please spell grown.,2,Please spell grown.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
happy_base_family,happier_en_gb,authentic_target,feeling more pleased or glad,happy + er → happier,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""happy"",""surfaceText"":""happi"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""er"",""surfaceText"":""er"",""gloss"":"""",""displayRange"":{""start"":5,""end"":7},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":5,""end"":5}}]",The final y changes to i before the ending is added.,Please spell happier.,2,Please spell happier.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
happy_base_family,happiness_en_gb,authentic_target,the state of being happy,happy + ness → happiness,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""happy"",""surfaceText"":""happi"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ness"",""surfaceText"":""ness"",""gloss"":"""",""displayRange"":{""start"":5,""end"":9},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":5,""end"":5}}]",The final y changes to i before the ending is added.,Please spell happiness.,2,Please spell happiness.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
happy_base_family,happy_en_gb,base,feeling pleased or glad,happy,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""happy"",""surfaceText"":""happy"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell happy.,2,Please spell happy.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
happy_base_family,unhappy_en_gb,transfer,not happy; feeling sad or not pleased,un + happy → unhappy,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""un"",""surfaceText"":""un"",""gloss"":"""",""displayRange"":{""start"":0,""end"":2},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""happy"",""surfaceText"":""happy"",""gloss"":"""",""displayRange"":{""start"":2,""end"":7},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":2,""end"":2}}]",The spelling of the base is kept in the longer word.,Please spell unhappy.,2,Please spell unhappy.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
help_base_family,help_en_gb,base,to make something easier for someone,help,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""help"",""surfaceText"":""help"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell help.,2,Please spell help.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
help_base_family,helpful_en_gb,authentic_target,giving help or being useful,help + ful → helpful,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""help"",""surfaceText"":""help"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4},""source"":{""morphemesJsonIndex"":0}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ful"",""surfaceText"":""ful"",""gloss"":"""",""displayRange"":{""start"":4,""end"":7},""source"":{""morphemesJsonIndex"":1}}]","[{""afterPartId"":""part_1"",""beforePartId"":""part_2"",""joinType"":""none"",""surfaceText"":"""",""displayRange"":{""start"":4,""end"":4}}]",The spelling of the base is kept in the longer word.,Please spell helpful.,2,Please spell helpful.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
hop_base_family,hop_en_gb,base,to jump on one foot,hop,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""hop"",""surfaceText"":""hop"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3},""source"":{""morphemesJsonIndex"":0}}]",[],The spelling of the base is kept in the longer word.,Please spell hop.,2,Please spell hop.,TRUE,ai_assisted_draft,OpenAI ChatGPT draft for human review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/canonical_word_metadata.csv,,Child-friendly meaning reviewed and approved by a named human; this record does not approve route activation or other curriculum fields.,low,approved_for_first_exposure,Katie Sanderson,2026-07-24T15:53:22+01:00
