word_key,normalised_word,display_word,dialect_code,current_age_band,aoa_match_status,aoa_meaning_row_count,aoa_median_age,aoa_min_age,aoa_max_age,uk_match_status,uk_curriculum_age,age_source_status,recommended_age_number_unrounded,recommended_age_number,recommended_age_band,review_flags,recommendation_status,source_category,source_name,source_url,source_licence,source_use_note,review_status,review_notes,manual_fill_source_name,manual_fill_source_url_or_path,manual_fill_confidence,manual_fill_review_notes
extreme_en_gb,extreme,extreme,en-GB,candidate_review,exact,3,12.5,10.5,16.5,exact,8,aoa_and_uk,10.25,10,upper_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: farthest possible; great in degree; very violent,,,,
eye_en_gb,eye,eye,en-GB,candidate_review,exact,5,6,6,12.5,exact,6,aoa_and_uk,6,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: hole in a needle; what you see with; to watch closely; private detective; loop to fasten hook,,,,
face_en_gb,face,face,en-GB,candidate_review,exact,9,12.5,6,18,exact,6,aoa_and_uk,9.25,9,middle_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,"Half-up rounded from equal average of available age evidence. Meaning samples: to look straight at; eyes, nose and mouth; turn toward; to meet with courage; surface, front",,,,
facial_en_gb,facial,facial,en-GB,candidate_review,exact,2,12.5,12.5,12.5,exact,9,aoa_and_uk,10.75,11,upper_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: a beauty treatment; of the face,,,,
factual_en_gb,factual,factual,en-GB,candidate_review,exact,1,12.5,12.5,12.5,unmatched,,aoa_only,12.5,13,lower_secondary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: real,,,,
fair_en_gb,fair,fair,en-GB,candidate_review,exact,8,10.5,6,16.5,exact,5,aoa_and_uk,7.75,8,middle_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: without cheating; with clear weather; pretty good; a show or exhibition; a farm-goods show,,,,
family_en_gb,family,family,en-GB,candidate_review,exact,4,8.25,6,18,unmatched,,aoa_only,8.25,8,middle_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,"Half-up rounded from equal average of available age evidence. Meaning samples: persons related by birth; father, mother, child; things of same kind; below order but above genus",,,,
famous_en_gb,famous,famous,en-GB,candidate_review,exact,1,8.5,8.5,8.5,exact,7,aoa_and_uk,7.75,8,middle_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: known all over,,,,
fan_en_gb,fan,fan,en-GB,candidate_review,exact,6,8.5,6,16.5,unmatched,,aoa_only,8.5,9,middle_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: make a breeze; folded-paper breezemaker; great admirer; drives air around; to make feeling stronger,,,,
fast_en_gb,Fast,fast/faster/fastest,en-GB,candidate_review,exact,7,12.5,6,16.5,exact,6,aoa_and_uk,9.25,9,middle_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: very quick; to do without food; close; holds tight; loose and wild,,,,
faster_en_gb,faster,faster,en-GB,candidate_review,unmatched,0,,,,exact,5,uk_only,5,5,early_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples:,,,,
fastest_en_gb,fastest,fastest,en-GB,candidate_review,unmatched,0,,,,manual_estimate,5,manual_uk_curriculum_fill,5,5,early_primary,manual_uk_curriculum_age_fill|source_band:age_5_6,age_ready_with_review_flags,internal_authored,Katie Sanderson missing age evidence UK curriculum fill,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_populated_uk_curriculum.xlsx,see source register rows,"Human-reviewed manual fill for words with no test-based AoA or UK age estimate match. Uses UK curriculum pattern placement and a project year-to-age mapping; candidate audit only, not active canonical_words.csv age truth.",in_review,Manual UK curriculum fill applied. Source band=age_5_6. Year 1 adding -est with no change; fastest appears in the Year 1 overview.,HeadStart Primary Spelling Overview Years 1-6 + UK year-to-age mapping,english-spellingoverview.pdf,high,Year 1 adding -est with no change; fastest appears in the Year 1 overview.
favourite_en_gb,favourite,favourite,en-GB,candidate_review,unmatched,0,,,,exact,8,uk_only,8,8,middle_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples:,,,,
feet_en_gb,feet,feet,en-GB,candidate_review,exact,2,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: twelve inch lengths; what you walk on,,,,
fern_en_gb,fern,fern,en-GB,candidate_review,exact,1,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: green plant,,,,
fetch_en_gb,fetch,fetch,en-GB,candidate_review,exact,1,18,18,18,exact,5,aoa_and_uk,11.5,12,lower_secondary,aoa_18_plus_only|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: get,,,,
few_en_gb,few,few,en-GB,candidate_review,exact,2,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: not many; a small number,,,,
field_en_gb,field,field,en-GB,candidate_review,exact,13,14.5,6,16.5,exact,5,aoa_and_uk,9.75,10,upper_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: open land; land for special use; a place of battle; one's occupation; range of activity,,,,
fight_en_gb,fight,fight,en-GB,candidate_review,exact,5,6,6,16.5,exact,5,aoa_and_uk,5.5,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: a battle; to hit and hurt each other; to go to war against; the spirit of struggle; big contest,,,,
fin_en_gb,fin,fin,en-GB,candidate_review,exact,3,10.5,6,18,unmatched,,aoa_only,10.5,11,upper_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: part of a fish; part of airplane; the end,,,,
final_en_gb,final,final,en-GB,candidate_review,exact,3,8.5,8.5,12.5,unmatched,,aoa_only,8.5,9,middle_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: the end; the last examination; settling the matter,,,,
find_en_gb,find,find,en-GB,candidate_review,exact,4,10.5,6,10.5,exact,6,aoa_and_uk,8.25,8,middle_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,"Half-up rounded from equal average of available age evidence. Meaning samples: get what you lost; to learn, discover; to come on by chance; valuable discovery",,,,
fish_en_gb,fish,fish,en-GB,candidate_review,exact,4,9.25,6,12.5,unmatched,,aoa_only,9.25,9,middle_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: to try to catch fish; a water animal; to pry for answers; search for,,,,
fit_en_gb,fit,fit,en-GB,candidate_review,exact,7,10.5,6,14.5,unmatched,,aoa_only,10.5,11,upper_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: adjust properly; be the right size; adjustment of clothes; in good condition; suitable,,,,
fixes_en_gb,fixes,fixes,en-GB,candidate_review,exact,1,6,6,6,unmatched,,aoa_only,6,6,early_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,"Half-up rounded from equal average of available age evidence. Meaning samples:  repairs, mends",,,,
fizz_en_gb,fizz,fizz,en-GB,candidate_review,exact,2,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: to make a hissing sound; bubbling liquid,,,,
flag_en_gb,flag,flag,en-GB,candidate_review,exact,5,16.5,6,18,unmatched,,aoa_only,16.5,17,later_review,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: to signal; cloth emblem of nation; a lily-like flower; stone for making walks; grow weak or tired,,,,
flew_en_gb,flew,flew,en-GB,candidate_review,exact,1,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: was flying,,,,
float_en_gb,float,float,en-GB,candidate_review,exact,6,14.5,6,16.5,unmatched,,aoa_only,14.5,15,mid_secondary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: go on top of water; vehicle decorated for a parade; a milk drink; set something going; to manage a loan,,,,
flour_en_gb,flour,flour,en-GB,candidate_review,exact,1,6,6,6,unmatched,,aoa_only,6,6,early_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: fine-ground wheat,,,,
flower_en_gb,flower,flower,en-GB,candidate_review,exact,3,6,6,16.5,unmatched,,aoa_only,6,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: colored blossom; to bloom; the best part,,,,
fly_en_gb,fly,fly,en-GB,candidate_review,exact,10,8.5,6,18,exact,6,aoa_and_uk,7.25,7,early_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: to drive an airplane; a winged insect; to travel by airplane; to go through the air; kind of fish hook,,,,
fog_en_gb,fog,fog,en-GB,candidate_review,exact,1,8.5,8.5,8.5,unmatched,,aoa_only,8.5,9,middle_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: thick mist,,,,
food_en_gb,food,food,en-GB,candidate_review,exact,1,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,,age_ready,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: things to eat,,,,
foot_en_gb,foot,foot,en-GB,candidate_review,exact,8,8.25,6,18,exact,5,aoa_and_uk,6.62,7,early_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: the bottom end of a bed; twelve inches; the lowest part; part of leg; the bottom,,,,
football_en_gb,football,football,en-GB,candidate_review,exact,2,6,6,6,exact,5,aoa_and_uk,5.5,6,early_primary,multiple_meanings_review,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: an oval-shaped ball; a game,,,,
for_en_gb,for,for,en-GB,candidate_review,exact,14,8.5,6,12.5,exact,5,aoa_and_uk,6.75,7,early_primary,multiple_meanings_review|aoa_uk_difference_over_2_years,age_ready_with_review_flags,internal_authored,Brysbaert-Biemiller test-based AoA master file + UK spelling words age estimates,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/brysbaert_biemiller_test_based_aoa_master_source.xlsx; docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,see source register rows,Candidate age recommendation combines median test-based AoA and UK curriculum age estimate where both are available; active canonical_words.csv age_band is not updated.,in_review,Half-up rounded from equal average of available age evidence. Meaning samples: in favor of; to last; given to; at the price of; instead of,,,,
