source_ref,micro_skill_key,record_key,issue_type,current_value,issue,codex_recommendation,approve_amend_reject,reviewer_comment
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!160,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::geography,root_or_etymology_review;slash_delimited_part_or_gloss,word=geography; parts=part_1:root[root_GEO] source='geo' surface='geo' gloss='earth' range=0-3 | part_2:root[root_GRAPH] source='graph' surface='graph' gloss='write / draw' range=3-8 | part_3:suffix source='y' surface='y' gloss='noun ending' range=8-9; joins=part_1->part_2 none '' range=3-3 | part_2->part_3 none '' range=8-8; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!162,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::hydroelectric,root_or_etymology_review,word=hydroelectric; parts=part_1:root[root_HYDRO] source='hydro' surface='hydro' gloss='water' range=0-5 | part_2:base source='electric' surface='electric' gloss='' range=5-13; joins=part_1->part_2 none '' range=5-5; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!161,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::perimeter,root_or_etymology_review;root_variant_or_alias_family,word=perimeter; parts=part_1:prefix source='peri' surface='peri' gloss='around (Greek)' range=0-4 | part_2:root[root_METER] source='meter' surface='meter' gloss='measure' range=4-9; joins=part_1->part_2 none '' range=4-4; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Confirm the alias/variant relationship and reusable root identity resolution.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!156,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::thermometer,linking_vowel_or_connector;root_or_etymology_review;root_variant_or_alias_family,word=thermometer; parts=part_1:root[root_THERM] source='therm' surface='therm' gloss='heat' range=0-5 | part_2:base source='o' surface='o' gloss='connector' range=5-6 | part_3:root[root_METER] source='meter' surface='meter' gloss='measure' range=6-11; joins=part_1->part_2 none '' range=5-5 | part_2->part_3 none '' range=6-6; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Confirm whether the connector should be taught as a linking vowel/connector rather than a word-local base part; amend if a different label is preferred.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!157,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS::triangle,root_or_etymology_review,word=triangle; parts=part_1:root[root_TRI] source='tri' surface='tri' gloss='three' range=0-3 | part_2:base source='angle' surface='angle' gloss='' range=3-8; joins=part_1->part_2 none '' range=3-3; transformations=,Candidate word analysis contains one or more features requiring reviewer visibility.,Spot-check the proposed decomposition and approve only if the root/origin claim and gloss are instructionally accurate.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Word Bank!87,D4_MOR_SUFFIXES_OUS,D4_MOR_SUFFIXES_OUS::famous,spelling_transformation,word=famous; parts=part_1:base source='fame' surface='fam' gloss='final e dropped' range=0-3 | part_2:suffix[suffix_OUS] source='ous' surface='ous' gloss='full of' range=3-6; joins=part_1->part_2 none '' range=3-3; transformations=drop_final_e fame->fam: Drop final e from fame before adding ous.,Candidate word analysis contains one or more features requiring reviewer visibility.,Approve the explicit transformation only if fame -> fam + ous is the intended teaching model; otherwise amend before approval.,approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!4,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,potentially_misleading_teaching_explanation,"A prefix is a part that goes in FRONT of a base word. It changes the meaning, but it never changes the base word's spelling. Prefix + base — two chunks, snap them together. | Prefix spelling is fixed and base spelling is preserved: re + play = replay, un + tie = untie. Spell each chunk, then join them with no letters lost. | Two chunks: spell the prefix, spell the base, push them together. Nothing falls off.",metaphor_may_overstate_no_change; morphological_invariance_may_overstate; overly_absolute_never,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!5,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,potentially_misleading_teaching_explanation,"A suffix is a part that goes on the END of a base word. It changes the word's job (slow → slowly) but the base usually keeps its spelling. Find the base, spell it, add the ending. | Suffix spelling is fixed and, by default, base spelling is preserved: slow + ly = slowly, kind + ness = kindness. Spell base then suffix as two chunks. | Say the word in two chunks — base, then ending — and spell each chunk.",qualified_base_preservation_ok_but_review,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!2,D4_MOR_BASE_WORDS_IDENTIFY_BASE,D4_MOR_BASE_WORDS_IDENTIFY_BASE,potentially_misleading_teaching_explanation,"Long words are built from a smaller word plus extra parts. Find the small word first — it's the Keeper of the meaning. If you can spell the base, most of the long word is already done. | A base word is a complete word that can stand alone (help in helpful, play in replaying). Spot the base first, spell it, then add the extra parts around it. | Before you spell a long word, ask: what small word is hiding inside?",overly_absolute_never,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!3,D4_MOR_BASE_WORDS_PRESERVE_BASE,D4_MOR_BASE_WORDS_PRESERVE_BASE,potentially_misleading_teaching_explanation,"When you add a part to a word, the base word usually keeps every one of its letters. The Keeper doesn't drop letters just because a new part arrives. | Base spelling is usually preserved when affixes are added: hope + less = hopeless, joy + ful = joyful. (Some suffix rules change the ending — that's a different skill — but the default is: keep the base whole.) | Spell the base first, then bolt the part on — don't lose any letters at the join, even if it makes a double letter.",base_preservation_may_overstate,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!18,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,potentially_misleading_teaching_explanation,"Some words are two whole words glued into one: foot + ball = football, rain + bow = rainbow. Both little words keep ALL their letters — two Keepers, one word. | Closed compounds join two complete base words with no letters lost, even where letters double up at the join: book + keeper = bookkeeper. | Find BOTH little words first. Spell each one whole, then push them together — nothing falls off at the join.",metaphor_may_overstate_no_change,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!19,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,potentially_misleading_teaching_explanation,"Some two-word teams stay apart (ice cream), and some hold hands with a hyphen (well-known). The words themselves stay perfectly spelled — the skill is knowing whether they're glued, hyphenated, or separate. | Open compounds keep a space (ice cream, living room); hyphenated compounds join with - (twenty-one, part-time). Each word part keeps its full spelling. | Spell each word perfectly first; then ask — glued, hyphen, or space? Learn each team's style like a name.",perfection_wording,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!9,D4_MOR_PREFIXES_IN_IM_IL_IR,D4_MOR_PREFIXES_IN_IM_IL_IR,potentially_misleading_teaching_explanation,"This 'not' prefix is a shape-shifter: it copies the start of the base so it's easier to say. Before most letters it's in- (invisible). Before m or p it's im- (impossible). Before l it's il- (illegal). Before r it's ir- (irregular). | The negative prefix assimilates to the base's first letter: im- before m/p, il- before l, ir- before r, in- elsewhere. This often creates a double letter: il + legal = illegal, ir + regular = irregular. | Look at the FIRST letter of the base — the prefix copies it: l → il (illegal, ll), r → ir (irregular, rr), m/p → im.",assimilation_metaphor_needs_review,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!6,D4_MOR_PREFIXES_UN,D4_MOR_PREFIXES_UN,potentially_misleading_teaching_explanation,"un- is a tiny part that means NOT or the OPPOSITE. Stick it on the front and the word flips: kind → unkind, lock → unlock. The base word keeps every letter. | un- is always spelled u-n, attached before a base word whose spelling stays the same: un + happy = unhappy, un + necessary = unnecessary (double n stays). | un- is always just u-n, and the base keeps all its letters — even if that makes nn.",overly_absolute_always,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!23,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,potentially_misleading_teaching_explanation,"The ancient Greeks gave us word-treasures too: tele = far (telephone, telescope), phon = sound, graph = write/draw, photo = light. Greek roots carry secret signs — ph says /f/, ch says /k/ — that mark a word as Greek. | Greek roots keep stable spelling and distinctive graphemes: phon (sound), graph (write), photo (light), tele (far), scope (look), micro (small). ph=/f/ and ch=/k/ signal Greek origin. | An /f/ in a science-y word is often the Greek sign ph — telephone, graph, photo. Spot the Greek treasure marks.",age_tone_secret_metaphor; etymology_or_origin_simplification; greek_grapheme_generalisation_needs_review,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!22,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,potentially_misleading_teaching_explanation,"Two thousand years ago the Romans spoke Latin — and their word-bricks are still inside our words! port = carry (transport, export, import). struct = build (structure, construct). Spot the Roman brick and half the word is spelled. | Latin roots keep stable spelling across word families: port (carry), struct (build), rupt (break), tract (pull), dict (say), scrib/script (write). Spell root as a fixed chunk, then add affixes. | Find the Roman brick first — port, struct, rupt — spell it as one chunk, then add the front and end parts.",etymology_or_origin_simplification,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!25,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,potentially_misleading_teaching_explanation,"A root is the family surname — it's spelled the same on every family member. act: act, actor, action, active, react. The endings change, the sounds shift, but a-c-t never breaks. | Root spelling is invariant across derivatives: act/action/actor, medic/medical/medicine, sign/signal/signature. Anchor the root, then vary the affixes. | Learn the surname once — act, medic, sign — and trust it in every relative, whatever the ending sounds like.",morphological_invariance_may_overstate; overly_absolute_never,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!24,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,potentially_misleading_teaching_explanation,"School subject words look scary until you see the bricks: thermometer = therm (heat) + meter (measure). Triangle = tri (three) + angle. Once you know ten bricks, you can spell (and understand!) a hundred subject words. | Subject vocabulary is built from productive roots: meter (measure), therm (heat), bio (life), geo (earth), tri (three), cent (hundred), poly (many), hydro (water). Spell root-by-root. | Break the scary word into bricks you know: therm + o + meter. Spell each brick — the word spells itself.",age_tone_scary_wording,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!16,D4_MOR_SUFFIXES_AL,D4_MOR_SUFFIXES_AL,potentially_misleading_teaching_explanation,"-al is an ADJECTIVE-MAKER meaning 'to do with': music → musical, nation → national. Always a-l, even when it sounds like 'ul' or 'le'. | -al is a fixed ending forming adjectives from nouns, spelled -al (never -le/-el/-ul in these built words): accident + al = accidental. | If you can strip it back to a real base word (music, nation, accident), the ending is -al.",overly_absolute_always; overly_absolute_never,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!12,D4_MOR_SUFFIXES_FUL_LESS,D4_MOR_SUFFIXES_FUL_LESS,potentially_misleading_teaching_explanation,"-ful means FULL OF (hopeful = full of hope). -less means WITHOUT (hopeless = without hope). They're opposite twins that snap onto the same bases. Big trap: -ful has ONE l, even though it means 'full'. | -ful is always spelled with a single l (careful, not carefull); -less always has double s. Base is preserved: care + ful, care + less. | The suffix -ful lost an l on its journey: full of care = careful, ONE l. And -less always keeps its ss.",overly_absolute_always,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!15,D4_MOR_SUFFIXES_ITY,D4_MOR_SUFFIXES_ITY,potentially_misleading_teaching_explanation,"-ity is a NOUN-MAKER: active → activity, real → reality. It names the quality. It sounds like 'ittee' but it's always i-t-y. | -ity is a fixed ending forming abstract nouns from adjectives; spelled -ity, never -aty/-etty. Related words share the spelling: real → reality. | The middle vowel is a whisper — but its family gives it away: real → reality, both spelled with the base intact, then i-t-y.",overly_absolute_always; overly_absolute_never,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!13,D4_MOR_SUFFIXES_MENT,D4_MOR_SUFFIXES_MENT,potentially_misleading_teaching_explanation,"-ment is a NOUN-MAKER for actions: enjoy → enjoyment (the thing you feel), pay → payment (the thing you pay). It's always m-e-n-t and the base stays whole. | -ment is a fixed ending added to verbs to form nouns, with the base preserved: treat + ment = treatment, move + ment = movement (the e stays!). | Base first, whole and complete — movement keeps the e of move — then add m-e-n-t.",overly_absolute_always,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!11,D4_MOR_SUFFIXES_NESS,D4_MOR_SUFFIXES_NESS,potentially_misleading_teaching_explanation,"-ness is a NOUN-MAKER. Stick it on a describing word and you get the name of that feeling or state: kind → kindness, dark → darkness. It's always n-e-s-s. | -ness is a fixed ending (never -nes or -niss) added to adjectives to form nouns. Base is preserved by default: sad + ness = sadness. (y→i bases like happiness follow the y-rule, taught separately.) | -ness is ALWAYS n-e-s-s — four letters, no exceptions. Spell the base first, then add all four.",overly_absolute_always; overly_absolute_never; qualified_base_preservation_ok_but_review,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!14,D4_MOR_SUFFIXES_OUS,D4_MOR_SUFFIXES_OUS,potentially_misleading_teaching_explanation,"-ous is an ADJECTIVE-MAKER meaning full of: danger → dangerous (full of danger), fame → famous. The tricky bit: it SOUNDS like 'us' but it's spelled o-u-s. | -ous is a fixed ending forming adjectives; it is never spelled -us or -is. Common pattern: base + ous with base largely preserved (dangerous, mountainous). | That ending sounds like 'us' but the Keeper knows it's o-u-s — three letters, o first.",overly_absolute_never; qualified_base_preservation_ok_but_review,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!21,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,potentially_misleading_teaching_explanation,"Sometimes relatives SOUND different but LOOK the same: nature/natural, please/pleasant, know/knowledge. The sound shifts — the spelling stays loyal to the family. | English preserves morphological spelling across pronunciation shifts. Trust the family spelling, not the changed sound: pleasant keeps the ea of please. | When a relative sounds different, don't panic-spell by ear — the family letters stay the same.",morphological_invariance_may_overstate,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!20,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,potentially_misleading_teaching_explanation,"Words come in families, and a relative can tell you the secret letter. Can't hear the g in sign? Its cousin SIGNAL says it loudly. Not sure about muscle? MUSCULAR shouts the hidden c... the family keeps the spelling. | Related words share meaning-spelling: sign/signal/signature, know/knowledge, medic/medicine. When a letter is silent or unclear, find a family member that pronounces it. | Stuck on a silent or fuzzy letter? Ask the family: which relative says that letter out loud?",age_tone_secret_metaphor; overly_absolute_never,"Amend wording where it overstates invariance, uses confusing metaphor, or makes broad origin/grapheme claims; keep accurate local rule language where appropriate.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
